,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,4961,7016,-1,
1,2,1,1,0,0,0,2080,1074,1094,261,-1,
2,3,1,1,1,0,0,2080,1066,1094,269,-1,
3,4,1,1,1,1,0,2784,1074,390,127,-1,
4,5,1,1,1,1,1,2784,1074,178,115,0,ftb
5,5,1,1,1,1,2,2993,1066,181,135,68,100
6,4,1,1,1,2,0,2080,1234,858,101,-1,
7,5,1,1,1,2,1,2080,1260,225,75,76,TAX
8,5,1,1,1,2,2,2402,1234,536,88,89,INVOICE
9,2,1,2,0,0,0,2022,1426,984,775,-1,
10,3,1,2,1,0,0,2022,1426,984,775,-1,
11,4,1,2,1,1,0,2085,1426,865,99,-1,
12,5,1,2,1,1,1,2085,1445,300,80,68,BHPetrol
13,5,1,2,1,1,2,2441,1445,231,66,92,Permas
14,5,1,2,1,1,3,2719,1434,153,75,92,Jaya
15,5,1,2,1,1,4,2916,1426,34,70,96,2
16,4,1,2,1,2,0,2249,1529,535,88,-1,
17,5,1,2,1,2,1,2249,1546,108,71,92,LOT
18,5,1,2,1,2,2,2403,1537,113,73,91,PTD
19,5,1,2,1,2,3,2568,1529,216,77,96,101051
20,4,1,2,1,3,0,2170,1621,705,93,-1,
21,5,1,2,1,3,1,2170,1641,191,73,91,Jalan
22,5,1,2,1,3,2,2403,1638,235,69,92,Permas
23,5,1,2,1,3,3,2690,1621,185,81,96,10/10
24,4,1,2,1,4,0,2172,1715,687,160,-1,
25,5,1,2,1,4,1,2172,1738,190,137,68,81750
26,5,1,2,1,4,2,2408,1724,178,91,43,Masai
27,5,1,2,1,4,3,2586,1724,31,91,69,","
28,5,1,2,1,4,4,2687,1715,172,136,84,Johor
29,4,1,2,1,5,0,2100,1912,822,102,-1,
30,5,1,2,1,5,1,2100,1936,188,78,93,Esjay
31,5,1,2,1,5,2,2338,1921,139,78,92,Fuel
32,5,1,2,1,5,3,2535,1912,387,81,92,Enterprise
33,4,1,2,1,6,0,2060,2003,943,101,-1,
34,5,1,2,1,6,1,2060,2036,104,68,61,"CO,"
35,5,1,2,1,6,2,2217,2028,143,71,90,REG.
36,5,1,2,1,6,3,2419,2022,99,69,91,NO:
37,5,1,2,1,6,4,2574,2005,387,78,0,001011128
38,5,1,2,1,6,5,2970,2003,33,67,0,1
39,4,1,2,1,7,0,2022,2098,984,103,-1,
40,5,1,2,1,7,1,2022,2130,111,71,92,GST
41,5,1,2,1,7,2,2181,2126,145,70,92,REG.
42,5,1,2,1,7,3,2381,2119,100,70,87,NO:
43,5,1,2,1,7,4,2537,2098,469,83,84,000153358336
44,2,1,3,0,0,0,1708,2289,1343,317,-1,
45,3,1,3,1,0,0,1708,2289,1343,317,-1,
46,4,1,3,1,1,0,1708,2289,1343,117,-1,
47,5,1,3,1,1,1,1708,2325,392,81,93,30-06-2018
48,5,1,3,1,1,2,2145,2312,311,79,96,09:09:49
49,5,1,3,1,1,3,2581,2299,302,74,91,Cashier:
50,5,1,3,1,1,4,2938,2289,113,70,96,465
51,4,1,3,1,2,0,1715,2407,783,97,-1,
52,5,1,3,1,2,1,1715,2427,269,77,92,Invoice
53,5,1,3,1,2,2,2032,2422,100,69,91,No:
54,5,1,3,1,2,3,2195,2407,303,77,90,1-642195
55,4,1,3,1,3,0,1715,2496,974,110,-1,
56,5,1,3,1,3,1,1715,2532,231,74,93,Prepay
57,5,1,3,1,3,2,1992,2516,149,72,92,Chit
58,5,1,3,1,3,3,2193,2506,258,78,51,Number
59,5,1,3,1,3,4,2395,2502,36,108,51,:
60,5,1,3,1,3,5,2513,2496,176,74,94,12091
61,2,1,4,0,0,0,1723,2668,1532,138,-1,
62,3,1,4,1,0,0,1723,2668,1532,138,-1,
63,4,1,4,1,1,0,1723,2668,1532,138,-1,
64,5,1,4,1,1,1,1723,2717,149,89,82,Item
65,5,1,4,1,1,2,2392,2690,268,88,91,U\Price
66,5,1,4,1,1,3,2829,2680,151,76,88,Qnty
67,5,1,4,1,1,4,3025,2665,230,79,91,Amount
68,2,1,5,0,0,0,2787,2789,521,147,-1,
69,3,1,5,1,0,0,1726,2789,1610,147,-1,
70,4,1,5,1,1,0,2787,2789,521,147,-1,
71,5,1,5,1,1,1,2787,2805,222,95,4,273
72,5,1,5,1,1,2,3057,2789,199,147,49,£0.00
73,5,1,5,1,1,3,3270,2795,38,131,92,R
74,2,1,6,0,0,0,2482,2920,855,115,-1,
75,3,1,6,1,0,0,2286,2920,1054,115,-1,
76,4,1,6,1,1,0,2482,2920,855,115,-1,
77,5,1,6,1,1,1,2482,2920,855,115,0,o.lll.......----
78,2,1,7,0,0,0,2283,3052,987,202,-1,
79,3,1,7,1,0,0,2283,3052,987,202,-1,
80,4,1,7,1,1,0,2283,3052,984,104,-1,
81,5,1,7,1,1,1,2283,3081,193,75,92,TOTAL
82,5,1,7,1,1,2,2521,3072,193,74,91,SALES
83,5,1,7,1,1,3,2918,3061,73,70,92,RM
84,5,1,7,1,1,4,3075,3052,192,73,96,50.00
85,4,1,7,1,2,0,2286,3148,984,106,-1,
86,5,1,7,1,2,1,2286,3173,311,81,93,ROUNDING
87,5,1,7,1,2,2,2644,3167,109,72,63,ADJ
88,5,1,7,1,2,3,2832,3144,60,118,25,~
89,5,1,7,1,2,4,2920,3158,74,71,25,RM
90,5,1,7,1,2,5,3118,3148,152,72,91,0.00
91,2,1,8,0,0,0,2292,3269,1058,62,-1,
92,3,1,8,1,0,0,2292,3269,1058,62,-1,
93,4,1,8,1,1,0,2292,3269,1058,62,-1,
94,5,1,8,1,1,1,2292,3269,1058,62,0,E—_em-——-=m=m—-—--mE=----C==TC
95,2,1,9,0,0,0,2290,3350,989,290,-1,
96,3,1,9,1,0,0,2290,3350,989,290,-1,
97,4,1,9,1,1,0,2290,3350,787,95,-1,
98,5,1,9,1,1,1,2290,3372,195,73,92,TOTAL
99,5,1,9,1,1,2,2529,3361,231,75,92,AMOUNT
100,5,1,9,1,1,3,2806,3350,271,101,93,PAYABLE
101,4,1,9,1,2,0,2927,3439,350,80,-1,
