,Unnamed: 0,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,0,1,1,0,0,0,0,0,0,2481,3508,-1.0,
1,1,2,1,1,0,0,0,273,180,217,76,-1.0,
2,2,3,1,1,1,0,0,273,180,217,76,-1.0,
3,3,4,1,1,1,1,0,273,180,217,76,-1.0,
4,4,5,1,1,1,1,1,273,180,217,76,90.317383,Uber
5,5,2,1,2,0,0,0,283,502,1183,80,-1.0,
6,6,3,1,2,1,0,0,283,502,1183,80,-1.0,
7,7,4,1,2,1,1,0,283,502,1183,80,-1.0,
8,8,5,1,2,1,1,1,283,508,222,59,91.858612,Here's
9,9,5,1,2,1,1,2,531,521,171,61,92.602646,your
10,10,5,1,2,1,1,3,730,505,251,76,92.808556,receipt
11,11,5,1,2,1,1,4,1004,502,107,65,92.649742,for
12,12,5,1,2,1,1,5,1133,521,170,61,92.547256,your
13,13,5,1,2,1,1,6,1331,503,135,64,91.839645,ride
14,14,2,1,3,0,0,0,276,655,864,40,-1.0,
15,15,3,1,3,1,0,0,276,655,864,40,-1.0,
16,16,4,1,3,1,1,0,276,655,864,40,-1.0,
17,17,5,1,3,1,1,1,276,659,55,29,92.764015,We
18,18,5,1,3,1,1,2,347,655,89,40,91.982315,hope
19,19,5,1,3,1,1,3,449,664,65,31,92.98671,you
20,20,5,1,3,1,1,4,530,655,144,40,92.1465,enjoyed
21,21,5,1,3,1,1,5,688,664,86,31,92.1465,your
22,22,5,1,3,1,1,6,787,655,68,33,93.162392,ride
23,23,5,1,3,1,1,7,867,655,67,33,92.477386,this
24,24,5,1,3,1,1,8,948,655,192,33,92.849655,afternoon.
25,25,2,1,4,0,0,0,274,853,165,511,-1.0,
26,26,3,1,4,1,0,0,274,853,165,511,-1.0,
27,27,4,1,4,1,1,0,275,853,143,49,-1.0,
28,28,5,1,4,1,1,1,275,853,143,49,92.783463,Total
29,29,4,1,4,1,2,0,274,1103,165,39,-1.0,
30,30,5,1,4,1,2,1,274,1103,70,39,92.883614,Trip
31,31,5,1,4,1,2,2,360,1106,79,29,91.714539,Fare
32,32,4,1,4,1,3,0,276,1331,158,33,-1.0,
33,33,5,1,4,1,3,1,276,1331,158,33,92.106499,Subtotal
34,34,2,1,5,0,0,0,278,1560,237,33,-1.0,
35,35,3,1,5,1,0,0,278,1560,237,33,-1.0,
36,36,4,1,5,1,1,0,278,1560,237,33,-1.0,
37,37,5,1,5,1,1,1,278,1560,120,33,92.812943,Before
38,38,5,1,5,1,1,2,410,1564,105,29,92.104622,Taxes
39,39,2,1,6,0,0,0,276,1662,214,36,-1.0,
40,40,3,1,6,1,0,0,276,1662,214,36,-1.0,
41,41,4,1,6,1,1,0,276,1662,214,36,-1.0,
42,42,5,1,6,1,1,1,276,1663,91,30,92.028473,CGST
43,43,5,1,6,1,1,2,381,1662,109,36,96.724899,(2.5%)
44,44,2,1,7,0,0,0,354,1664,5,125,-1.0,
45,45,3,1,7,1,0,0,354,1664,5,125,-1.0,
46,46,4,1,7,1,1,0,354,1664,5,125,-1.0,
47,47,5,1,7,1,1,1,354,1664,5,125,95.0, 
48,48,2,1,8,0,0,0,276,1762,352,36,-1.0,
49,49,3,1,8,1,0,0,276,1762,352,36,-1.0,
50,50,4,1,8,1,1,0,276,1762,352,36,-1.0,
51,51,5,1,8,1,1,1,276,1762,229,35,91.370995,SGST/UTGST
52,52,5,1,8,1,1,2,519,1762,109,36,96.483398,(2.5%)
53,53,2,1,9,0,0,0,275,1989,312,40,-1.0,
54,54,3,1,9,1,0,0,275,1989,312,40,-1.0,
55,55,4,1,9,1,1,0,275,1989,312,40,-1.0,
56,56,5,1,9,1,1,1,275,1992,148,30,90.668015,Amount
57,57,5,1,9,1,1,2,436,1989,151,40,92.125465,Charged
58,58,2,1,10,0,0,0,273,2091,548,73,-1.0,
59,59,3,1,10,1,0,0,273,2091,548,73,-1.0,
60,60,4,1,10,1,1,0,273,2091,548,73,-1.0,
61,61,5,1,10,1,1,1,273,2091,111,73,0.0,H
62,62,5,1,10,1,1,2,401,2118,420,40,91.484711,ronakagr@okhdfcbank
63,63,2,1,11,0,0,0,274,2223,1178,35,-1.0,
64,64,3,1,11,1,0,0,274,2223,1178,35,-1.0,
65,65,4,1,11,1,1,0,274,2223,1178,35,-1.0,
66,66,5,1,11,1,1,1,274,2224,66,27,92.860886,Visit
67,67,5,1,11,1,1,2,349,2223,50,27,91.662506,the
68,68,5,1,11,1,1,3,409,2224,53,34,92.232269,trip
69,69,5,1,11,1,1,4,475,2231,73,27,92.771996,page
70,70,5,1,11,1,1,5,558,2223,45,28,92.515656,for
71,71,5,1,11,1,1,6,614,2231,77,20,92.420692,more
72,72,5,1,11,1,1,7,703,2223,188,32,92.420692,"information,"
73,73,5,1,11,1,1,8,904,2223,141,33,91.596275,including
74,74,5,1,11,1,1,9,1055,2224,122,27,92.64296,invoices
75,75,5,1,11,1,1,10,1189,2223,104,31,55.342667,(where
76,76,5,1,11,1,1,11,1304,2223,148,32,91.789825,available)
77,77,2,1,12,0,0,0,274,2446,576,33,-1.0,
78,78,3,1,12,1,0,0,274,2446,576,33,-1.0,
79,79,4,1,12,1,1,0,274,2446,576,33,-1.0,
80,80,5,1,12,1,1,1,274,2450,69,29,92.173531,You
81,81,5,1,12,1,1,2,360,2446,81,33,91.959862,rode
82,82,5,1,12,1,1,3,454,2446,77,32,92.139145,with
83,83,5,1,12,1,1,4,549,2450,26,28,92.789146,M
84,84,5,1,12,1,1,5,592,2449,136,30,91.905502,Samara
85,85,5,1,12,1,1,6,744,2446,106,33,92.237335,simha
86,86,2,1,13,0,0,0,277,2530,394,28,-1.0,
87,87,3,1,13,1,0,0,277,2530,394,28,-1.0,
88,88,4,1,13,1,1,0,277,2530,394,28,-1.0,
89,89,5,1,13,1,1,1,277,2531,111,27,92.233383,License
90,90,5,1,13,1,1,2,401,2530,84,28,90.964027,Plate:
91,91,5,1,13,1,1,3,497,2533,174,25,90.772827,TS28T6992
92,92,2,1,14,0,0,0,278,2655,656,39,-1.0,
93,93,3,1,14,1,0,0,278,2655,656,39,-1.0,
94,94,4,1,14,1,1,0,278,2655,656,39,-1.0,
95,95,5,1,14,1,1,1,278,2655,136,33,91.543602,UberGo
96,96,5,1,14,1,1,2,467,2658,102,30,93.269829,36.38
97,97,5,1,14,1,1,3,585,2655,193,33,90.779243,kilometers
98,98,5,1,14,1,1,4,793,2656,3,38,90.967125,|
99,99,5,1,14,1,1,5,813,2658,43,29,93.304756,56
100,100,5,1,14,1,1,6,871,2656,63,31,93.027977,min
101,101,2,1,15,0,0,0,1873,228,331,35,-1.0,
102,102,3,1,15,1,0,0,1873,228,331,35,-1.0,
103,103,4,1,15,1,1,0,1873,228,331,35,-1.0,
104,104,5,1,15,1,1,1,1873,228,75,35,91.434052,"Sun,"
105,105,5,1,15,1,1,2,1966,229,64,29,91.683937,Dec
106,106,5,1,15,1,1,3,2044,228,53,35,72.160065,"01,"
107,107,5,1,15,1,1,4,2112,228,92,30,96.606911,2019
108,108,2,1,16,0,0,0,1978,858,223,44,-1.0,
109,109,3,1,16,1,0,0,1978,858,223,44,-1.0,
110,110,4,1,16,1,1,0,1978,858,223,44,-1.0,
111,111,5,1,16,1,1,1,1978,858,223,44,91.203674,₹679.45
112,112,2,1,17,0,0,0,2054,1105,149,30,-1.0,
113,113,3,1,17,1,0,0,2054,1105,149,30,-1.0,
114,114,4,1,17,1,1,0,2054,1105,149,30,-1.0,
115,115,5,1,17,1,1,1,2054,1105,149,30,92.450157,₹679.45
116,116,2,1,18,0,0,0,2054,1334,150,30,-1.0,
117,117,3,1,18,1,0,0,2054,1334,150,30,-1.0,
118,118,4,1,18,1,1,0,2054,1334,150,30,-1.0,
119,119,5,1,18,1,1,1,2054,1334,150,30,92.759117,₹679.45
120,120,2,1,19,0,0,0,2054,1563,150,130,-1.0,
121,121,3,1,19,1,0,0,2054,1563,150,130,-1.0,
122,122,4,1,19,1,1,0,2054,1563,150,30,-1.0,
123,123,5,1,19,1,1,1,2054,1563,150,30,91.469719,₹647.09
124,124,4,1,19,1,2,0,2078,1663,126,30,-1.0,
125,125,5,1,19,1,2,1,2078,1663,126,30,90.27832,₹16.18
126,126,2,1,20,0,0,0,2078,1763,126,30,-1.0,
127,127,3,1,20,1,0,0,2078,1763,126,30,-1.0,
128,128,4,1,20,1,1,0,2078,1763,126,30,-1.0,
129,129,5,1,20,1,1,1,2078,1763,126,30,90.27832,₹16.18
130,130,2,1,21,0,0,0,1978,2093,223,44,-1.0,
131,131,3,1,21,1,0,0,1978,2093,223,44,-1.0,
132,132,4,1,21,1,1,0,1978,2093,223,44,-1.0,
133,133,5,1,21,1,1,1,1978,2093,223,44,91.203674,₹679.45
134,134,2,1,22,0,0,0,407,2771,1772,40,-1.0,
135,135,3,1,22,1,0,0,273,2771,1906,140,-1.0,
136,136,4,1,22,1,1,0,407,2771,1772,40,-1.0,
137,137,5,1,22,1,1,1,407,2774,160,37,93.290573,02:53pm
138,138,5,1,22,1,1,2,584,2772,3,38,93.101372,|
139,139,5,1,22,1,1,3,603,2774,82,30,92.598808,Casa
140,140,5,1,22,1,1,4,703,2771,167,38,91.597816,"Paradiso,"
141,141,5,1,22,1,1,5,884,2771,176,33,92.194962,Allauddin
142,142,5,1,22,1,1,6,1077,2771,121,38,91.168228,"Basthi,"
143,143,5,1,22,1,1,7,1214,2771,126,33,41.412006,Sanath
144,144,5,1,22,1,1,8,1358,2775,117,36,92.014725,"Nagar,"
145,145,5,1,22,1,1,9,1493,2771,212,40,90.117516,"Hyderabad,"
146,146,5,1,22,1,1,10,1719,2771,192,40,91.177322,Telangana
147,147,5,1,22,1,1,11,1928,2774,148,35,93.305885,"500018,"
148,148,5,1,22,1,1,12,2094,2771,85,33,93.136169,India
149,149,2,1,23,0,0,0,407,2871,1415,40,-1.0,
150,150,3,1,23,1,0,0,407,2871,1415,40,-1.0,
151,151,4,1,23,1,1,0,407,2871,1415,40,-1.0,
152,152,5,1,23,1,1,1,407,2874,160,37,92.922974,03:50pm
153,153,5,1,23,1,1,2,584,2872,3,38,92.922974,|
154,154,5,1,23,1,1,3,605,2874,187,37,91.901688,Departure
155,155,5,1,23,1,1,4,808,2875,47,34,90.939911,"Dr,"
156,156,5,1,23,1,1,5,871,2871,247,38,92.284485,"Shamshabad,"
157,157,5,1,23,1,1,6,1136,2871,212,40,92.233681,"Hyderabad,"
158,158,5,1,23,1,1,7,1362,2871,192,40,92.098396,Telangana
159,159,5,1,23,1,1,8,1571,2874,148,35,93.305565,"501218,"
160,160,5,1,23,1,1,9,1737,2871,85,33,92.946098,India
161,161,2,1,24,0,0,0,278,3043,1798,40,-1.0,
162,162,3,1,24,1,0,0,278,3043,1798,40,-1.0,
163,163,4,1,24,1,1,0,278,3043,1798,40,-1.0,
164,164,5,1,24,1,1,1,278,3047,97,29,92.435936,Fares
165,165,5,1,24,1,1,2,389,3052,58,24,91.50058,are
166,166,5,1,24,1,1,3,462,3043,156,33,92.775681,inclusive
167,167,5,1,24,1,1,4,633,3043,36,33,92.929222,of
168,168,5,1,24,1,1,5,681,3046,76,30,91.626068,GST.
169,169,5,1,24,1,1,6,773,3043,117,33,92.538223,Please
170,170,5,1,24,1,1,7,905,3043,181,33,91.636078,download
171,171,5,1,24,1,1,8,1100,3043,59,33,91.955803,the
172,172,5,1,24,1,1,9,1172,3046,58,29,92.425621,tax
173,173,5,1,24,1,1,10,1244,3044,126,32,92.625343,invoice
174,174,5,1,24,1,1,11,1382,3043,86,33,91.342003,from
175,175,5,1,24,1,1,12,1482,3043,60,33,92.996521,the
176,176,5,1,24,1,1,13,1554,3044,64,39,92.870872,trip
177,177,5,1,24,1,1,14,1632,3043,105,33,92.617508,detail
178,178,5,1,24,1,1,15,1750,3052,87,31,92.538177,page
179,179,5,1,24,1,1,16,1850,3043,54,33,93.287956,for
180,180,5,1,24,1,1,17,1916,3052,17,23,93.299744,a
181,181,5,1,24,1,1,18,1946,3043,61,33,93.265976,full
182,182,5,1,24,1,1,19,2017,3046,59,29,93.253777,tax
183,183,2,1,25,0,0,0,277,3082,216,33,-1.0,
184,184,3,1,25,1,0,0,277,3082,216,33,-1.0,
185,185,4,1,25,1,1,0,277,3082,216,33,-1.0,
186,186,5,1,25,1,1,1,277,3082,216,33,90.900597,breakdown.
